"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
b409f120-14f8-4c7d-ab94-0bbf5814da02,Product__c,Field Value,equals,cffaea21-c34d-457f-863c-380335474a26,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
b9fc1187-a59e-4034-ae61-2e9910afae29,Threshold_Type__c,Static Value,equals,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A","#N/A","#N/A",Discount
bcd2f6e0-c9f6-497d-a8fa-75493cdcf003,Upper_Bound_Percent__c,Field Value,less than,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
bf2f83a1-49ee-40fb-809e-d2f7f49f6c31,Engineering_Options__c,Field Value,equals,99bacd54-3248-4813-ac10-a5846314266c,"#N/A",Engineering_Options__c,Quote Line,"#N/A"
bfdbeeb1-2722-4d99-9aa6-54ef7b125b27,Lower_Bound_Percent__c,Field Value,greater or equals,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
c01ac4b8-e944-4f77-a83c-3fa9e6bdeb4b,Upper_Bound_Percent__c,Field Value,less than,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
c315f54e-ecf6-4b57-816b-680f4b7fc181,Upper_Bound_Percent__c,Field Value,less than,e5ffed5e-80c0-461f-9b98-ea194422953d,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
c4202a07-b63d-4f84-8672-8b8cf5883090,Approval_Level__c,Static Value,equals,905bef63-85d0-400d-a10d-fcfbf6ba920a,"#N/A","#N/A","#N/A",1
c8b9c6d2-d8ef-4f17-91ef-52fcba7ee9b5,Product__c,Field Value,equals,8bf3b5f0-9dd6-4a44-a5f6-9df1a3183895,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
d153a726-c619-4e60-b984-1dd9dce7b3f3,Approval_Level__c,Static Value,equals,390e6136-378b-4d13-97b5-e9be8bdf55cc,"#N/A","#N/A","#N/A",3
d320273b-cdb7-4ff3-994a-4cf93c7f1514,Approval_Level__c,Static Value,equals,8bf3b5f0-9dd6-4a44-a5f6-9df1a3183895,"#N/A","#N/A","#N/A",2
d3935df4-c031-4ab1-a44d-43d137fb669b,Upper_Bound_Percent__c,Field Value,less than,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
da35ae44-3a69-44b0-9677-064f84de6356,Threshold_Type__c,Static Value,equals,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A","#N/A","#N/A",Discount
dcaa22b3-31f0-4e2d-85da-a0eb80e85107,Lower_Bound_Percent__c,Field Value,greater or equals,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
e5d8a6b5-540c-4cd9-9036-2003bee0ec5f,Approval_Level__c,Static Value,equals,ff1cdbc2-ed9e-4678-b2c7-2d94ebfb63a7,"#N/A","#N/A","#N/A",1
ee8ce21d-d5d1-498c-848c-9261ec7732dd,Product__c,Field Value,equals,ff1cdbc2-ed9e-4678-b2c7-2d94ebfb63a7,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
f3581a85-a105-4c63-be8d-4065a9d9336b,Product__c,Field Value,equals,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
f86623c0-223c-4cf0-8225-87cf2e53894a,Product__c,Field Value,equals,90410dfa-fb54-4ad7-adea-ba2911d145ff,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
fea5042e-e677-4d2b-a91b-7cb84e392ce2,Product__c,Field Value,equals,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
ff992819-c326-403c-a519-44167254a45e,Resource_Location__c,Field Value,equals,4a3d8979-c219-4065-bc4c-9fb2ff8dbf98,"#N/A",Resource_Location__c,Quote Line,"#N/A"
