"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
58c982ac-d053-4444-b1b7-a6523e7ac2ad,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
5c991295-b35d-40ef-9903-4dd3882999b9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,2b7f6775-e1c0-45c3-a040-4ca3d3bf26f5,"#N/A","#N/A",Product Option,"#N/A","#N/A"
5f15ca37-f550-4673-9413-826b1da66553,Discount (%),"#N/A","#N/A",5e797926-0b3c-468c-819a-edbac82a96c5,"#N/A","#N/A",Quote Line,"#N/A",45
6163715c-8f89-4698-9ca0-9016b122bb81,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",3564da56-f292-49b2-8658-bd46b22c6149,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
667ceba3-44ca-408f-9f81-840218240b42,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,47acd0d6-cfaf-4732-88c2-d5584d922592,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
7b8d022a-bdf4-4a5d-ae04-2ba5fc693a9b,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,6ac3719a-1809-4087-a90b-988d127fdbe1,"#N/A","#N/A",Product Option,"#N/A","#N/A"
82372e95-520d-4d51-bbb3-7d58b88ca44a,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",5f13aab4-3d91-4a58-9844-223040f8f1f2,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
88291f1d-a1af-4be9-9624-204fd1a69500,Unit Price,"#N/A","#N/A",1e506309-381c-46b0-a4dd-bec272274c00,"#N/A","#N/A",Product Option,"#N/A",123
9616e73f-6900-4c07-aa7e-79a390440a52,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
a059285b-383b-46da-8a60-016476c1989a,Discount (%),"#N/A","#N/A",a8f8e9d4-7871-4a74-818f-5621b621248b,"#N/A","#N/A",Quote Line,"#N/A",45
a643f407-d62c-4c01-b0bb-ccf55fbb7cd3,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,f3613b41-6455-4e6c-a87b-d4ff970ff6f4,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
a6b06823-158d-425b-8bb9-683d94eac9dd,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
aa887913-386c-44ab-b509-016411ca50f5,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",9d4705de-1331-4d3a-bab7-4c689d38b2fe,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
abef74b5-53cf-4862-97c4-dc411001ec94,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",ad5c3462-052c-44be-8deb-5a34785bedb8,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ad25ae69-0524-4920-a5a0-1d16b2395d46,Discount (%),"#N/A","#N/A",3a5ff427-89c4-4db3-9ffd-19da4d961b38,"#N/A","#N/A",Quote Line,"#N/A",45
b6a1e7c9-c519-4909-95dd-948077cdce5e,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",22c838ef-1257-40ff-a5ce-e2b3434c9617,"#N/A","#N/A",Quote,"#N/A",4
