"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
17171d95-0f81-437b-9495-73f0aed518e8,Top,"#N/A",0.0,false,"#N/A",cde57d9d-e1cb-4f39-86f7-72897cd7414c,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,0.0
e6d282e8-1cf7-4a5e-86b4-a66de0f61cbc,Lines,"#N/A",0.0,false,"#N/A",ee66e078-56ce-4a0f-bd75-837ecf3909cc,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,0.0
feefea21-4311-4dcb-b4f0-6ed95a0c8307,Bottom,"#N/A",0.0,false,"#N/A",3a6d736a-3f58-47cd-bdf7-820ec36d6201,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,0.0
